        _
  _ __ | |__   ___  _ __   ___   _ __  _   _
 | '_ \| '_ \ / _ \| '_ \ / _ \ | '_ \| | | |
 | |_) | | | | (_) | | | | (_) || |_) | |_| |
 | .__/|_| |_|\___/|_| |_|\___(_) .__/ \__, |
 |_|                            |_|    |___/
                                     1.11.12

Force constants are read from FORCE_CONSTANTS.
Python version 3.6.0
Spglib version 1.9.9
Mesh sampling mode
Settings:
  Sampling mesh: [64 64  1]
  Supercell: [1 1 1]
Spacegroup: P6_3/mmc (194)
Number of irreducible q-points on sampling mesh: 363/4096
Calculating phonons on sampling mesh...
Calculating thermal properties...
#      T [K]      F [kJ/mol]    S [J/K/mol]  C_v [J/K/mol]     E [kJ/mol]
       0.000      30.9462554      0.0000000      0.0000000     30.9462554
      10.000      30.9459925      0.0984741      0.2609034     30.9469772
      20.000      30.9430357      0.5607391      1.3357417     30.9542505
      30.000      30.9333695      1.4467362      3.3422387     30.9767716
      40.000      30.9124973      2.8147398      6.5450779     31.0250868
      50.000      30.8751960      4.7455442     11.1785363     31.1124732
      60.000      30.8155073      7.2982418     17.2258003     31.2534018
      70.000      30.7271259     10.4807240     24.4048936     31.4607766
      80.000      30.6039350     14.2493884     32.3001935     31.7438860
      90.000      30.4404437     18.5258972     40.4964059     32.1077744
     100.000      30.2320372     23.2163525     48.6534446     32.5536724
     110.000      29.9750542     28.2258044     56.5283162     33.0798927
     120.000      29.6667503     33.4669009     63.9674286     33.6827784
     130.000      29.3051979     38.8639107     70.8877224     34.3575063
     140.000      28.8891639     44.3537676     77.2566836     35.0986914
     150.000      28.4179843     49.8854622     83.0754146     35.9008036
     160.000      27.8914506     55.4186662     88.3657940     36.7584372
     170.000      27.3097110     60.9221095     93.1613843     37.6664696
     180.000      26.6731877     66.3719901     97.5013142     38.6201459
     190.000      25.9825095     71.7505449    101.4263474     39.6151130
     200.000      25.2384581     77.0448265    104.9764766     40.6474234
     210.000      24.4419247     82.2456888    108.1895467     41.7135193
     220.000      23.5938765     87.3469603    111.1005499     42.8102078
     230.000      22.6953305     92.3447804    113.7413453     43.9346300
     240.000      21.7473328     97.2370716    116.1406393     45.0842300
     250.000      20.7509433    102.0231215    118.3241150     46.2567237
     260.000      19.7072236    106.7032535    120.3146433     47.4500695
     270.000      18.6172277    111.2785690    122.1325293     48.6624414
     280.000      17.4819960    115.7507456    123.7957678     49.8922048
     290.000      16.3025496    120.1218789    125.3202923     51.1378945
     300.000      15.0798873    124.3943605    126.7202084     52.3981954
     310.000      13.8149827    128.5707822    128.0080073     53.6719251
     320.000      12.5087828    132.6538628    129.1947582     54.9580189
     330.000      11.1622072    136.6463912    130.2902801     56.2555163
     340.000       9.7761474    140.5511828    131.3032933     57.5635496
     350.000       8.3514667    144.3710470    132.2415529     58.8813331
     360.000       6.8890003    148.1087618    133.1119661     60.2081546
     370.000       5.3895562    151.7670560    133.9206941     61.5433669
     380.000       3.8539150    155.3485953    134.6732423     62.8863812
     390.000       2.2828315    158.8559730    135.3745375     64.2366609
     400.000       0.6770344    162.2917038    136.0289967     65.5937159
     410.000      -0.9627719    165.6582193    136.6405863     66.9570980
     420.000      -2.6359071    168.9578662    137.2128742     68.3263967
     430.000      -4.3417139    172.1929050    137.7490752     69.7012352
     440.000      -6.0795571    175.3655107    138.2520906     71.0812676
     450.000      -7.8488230    178.4777737    138.7245432     72.4661752
     460.000      -9.6489181    181.5317015    139.1688080     73.8556645
     470.000     -11.4792690    184.5292204    139.5870388     75.2494646
     480.000     -13.3393207    187.4721787    139.9811919     76.6473251
     490.000     -15.2285366    190.3623484    140.3530471     78.0490141
     500.000     -17.1463974    193.2014289    140.7042258     79.4543171
     510.000     -19.0924003    195.9910490    141.0362074     80.8630347
     520.000     -21.0660587    198.7327701    141.3503436     82.2749818
     530.000     -23.0669010    201.4280892    141.6478714     83.6899862
     540.000     -25.0944706    204.0784412    141.9299239     85.1078876
